3fr	Hasselblad CFV/H3D39II
x3f	Sigma Camera RAW Picture File
xbm	X Windows system bitmap (black and white)
xc	Constant image uniform color
xcf	GIMP image
xpm	X Windows system pixmap (color)
xps	Microsoft XML Paper Specification
xv	Khoros Visualization image
xwd	X Windows system window dump (color)
ycbcr	Raw Y, Cb, and Cr samples
ycbcra	Raw Y, Cb, Cr, and alpha samples
yuv	CCIR 601 4:1:1 or 4:2:2
